5 trials/test,,,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Manually Scaled Speed,Theoretical Speed,Jetstream Calc Speed,Jetstream Speed,No Autoscaler,,Autoscaler Speed
Stan. Deviation,Nodes=Actor,Workers/Node,Msg/Worker,# of Flop,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Script Time,Calc Time,GFlop/s Clock,GFlop/s Script,GFlop/s Calc,Theory GFlops,JS GFlops Calc,JS GFlops Script,Percentage Of JS,,GFlop/s Calc
,55,6,5,"1,689,494,400,000,000.00",324.5154922,26.02436896,98.63824223,8.411236742,216.5379296,1983.007105,58482.89103,57924.00926,47245.64292,7510.560843,9625.251413,11800.73161,17424,14140.01757,10139.93116,74.06915022,,11627.61368
,55,6,5,"1,689,494,400,000,000.00",263.8413061,26.35171999,42.61865301,8.512110151,211.6520011,1962.799358,60182.91584,59659.16652,48997.88004,7673.795652,9345.305752,11378.71989,17424,14140.01757,10139.93116,75.67897189,,11627.61368
,55,6,5,"1,689,494,400,000,000.00",268.2171064,26.4254352,42.6436429,8.401253288,216.0952086,1963.89705,60093.99371,59571.7381,48941.12692,7525.706131,9359.02107,11391.91488,17424,14140.01757,10139.93116,74.21851305,,11627.61368
,55,6,5,"1,689,494,400,000,000.00",258.4864558,26.35880032,34.87046466,8.604657682,213.9683251,1776.515731,60084.24821,59575.50373,48937.57632,7590.743401,9358.429507,11392.74141,17424,14140.01757,10139.93116,74.8599106,,11627.61368
,55,6,5,"1,689,494,400,000,000.00",270.928551,26.10970528,40.42290665,9.499191113,219.9391544,1929.782095,60196.10703,59676.65434,49036.50078,7363.609585,9342.567177,11369.7581,17424,14140.01757,10139.93116,72.61991693,74.28929254,11627.61368
,89,6,5,"2,733,909,120,000,000.00",296.7310127,41.49515089,71.87404029,14.44670768,208.7651079,2865.067922,97317.09351,96241.00104,79049.58209,12248.0484,15169.28808,18468.25033,28195.2,22881.11934,16408.25224,74.64566133,,18815.59305
,89,6,5,"2,733,909,120,000,000.00",286.6721595,42.05872356,52.15090146,13.83132817,218.8417032,2985.441109,97363.65121,96524.29218,79398.39638,11750.00431,15124.76742,18387.11531,28195.2,22881.11934,16408.25224,71.61033444,,18815.59305
,89,6,5,"2,733,909,120,000,000.00",283.0418945,42.17287366,54.26240753,13.42714627,212.5477753,2715.969677,97742.95732,96909.28403,79738.21913,12098.28551,15064.68121,18308.7544,28195.2,22881.11934,16408.25224,73.73293228,,18815.59305
,89,6,5,"2,733,909,120,000,000.00",277.9344671,43.2212993,53.19234144,13.94145307,209.0765071,2919.877025,98145.27553,97306.57539,80088.68539,12258.69485,15003.17388,18228.6357,28195.2,22881.11934,16408.25224,74.71054606,,18815.59305
,89,6,5,"2,733,909,120,000,000.00",280.2170681,42.62550667,54.95109129,13.52479024,209.9426209,2613.485888,97506.35202,96690.06476,79564.30229,12234.03943,15098.83641,18348.77487,28195.2,22881.11934,16408.25224,74.56028377,73.85195158,18815.59305
,,,,,,,,,,,,,,,,18348.30612,28195.2,22881.11934,,,,18815.59305
,,,,,,,,,,,,,,,,,0.6507765459,0.8018972259,,,,
