,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Jetstream Speed,Theoretical,,No Autoscaler,5 trials/test,,Autoscaler Speed
Node=Actor(s),Workers/Node,Msg/Worker,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Calc Time,Hashes,Hashrate,HASHRATE,JS Hashrate Script,Ideal Hashrate,Percentage,% Average,hashes/msg:,Average Worktime = sum(in script worktimes)/len(in script worktimes),HASHRATE
89,6,6,254.7978175,42.3910153,52.75345007,16.44749491,183.8452113,3287.862777,84704.19138,84773.93187,9612000000,37724028,60547008.81,65203817.82,60596859.69,57.85555088,,,,12860665.77
89,6,6,259.6354019,43.61432237,54.36554503,16.84819104,186.7368942,3463.401753,85094.05194,85157.50371,9612000000,37021145.54,60274289.13,65203817.82,60319233.64,56.77757342,57.13333974,,,12899468.59
,,,,,,,,,,,,,60376132.38,65203817.82,,,,,,
,,,,,,,,,,,,,,0.9259600802,,,,,,
,,,,,,,,,,,,,Manual,Autoscaler,,,,,,
,,,,,,,,,,,,,60376132.38,60058890.92,,,,,,
,,,,,,,,,,,,,,0.9947455817,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,compared to eachother,,,,,
,,,,,,,,,,,,,,not-scaled,,,,,,
,,,,,,,,,,,,,,scaled,0.3484351552,,,,,
